subscription_id,total_usage_count,avg_usage_duration_secs,total_errors,beta_feature_events,unique_features_used,account_id,plan_tier,churn_flag,mrr_amount,arr_amount,industry,referral_source
S-001561,48,4320.8,3,0,5,A-1b7577,Enterprise,0,1194,14328,Cybersecurity,other
S-0027d3,44,5212.0,0,0,3,A-e693b6,Basic,0,1045,12540,FinTech,event
S-003647,71,1627.25,3,2,8,A-e36807,Enterprise,0,1791,21492,EdTech,other
S-003fc0,43,2983.25,1,0,4,A-65c341,Basic,0,0,0,FinTech,ads
S-004d19,18,2808.0,0,0,2,A-bece89,Enterprise,0,5174,62088,Cybersecurity,event
S-004eb4,80,2644.875,2,0,7,A-ab438f,Enterprise,0,2587,31044,Cybersecurity,ads
S-006908,13,403.0,1,0,1,A-d82ef9,Pro,0,1274,15288,EdTech,other
S-006fed,104,3903.3,0,2,9,A-ac9111,Basic,1,399,4788,HealthTech,event
S-007e2c,49,2584.4,0,2,5,A-cb5333,Pro,0,1617,19404,DevTools,ads
S-00837c,45,2159.5,7,3,4,A-089363,Enterprise,1,8557,102684,FinTech,event
S-00866d,37,651.6666666666666,2,0,3,A-05f0e5,Basic,0,608,7296,FinTech,partner
S-008cab,96,3150.6666666666665,8,0,9,A-202b67,Pro,0,539,6468,HealthTech,organic
S-008f3c,6,1950.0,0,1,1,A-e98302,Pro,1,2842,34104,EdTech,ads
S-009027,54,3980.6,1,0,5,A-1b7577,Enterprise,0,1791,21492,Cybersecurity,other
S-00ab51,49,3343.5,2,1,4,A-ae052e,Pro,0,1911,22932,FinTech,other
S-00b0bc,4,2304.0,0,0,1,A-089363,Enterprise,0,0,0,FinTech,event
S-00bb84,81,2539.875,5,0,7,A-4f18f0,Pro,0,1176,14112,DevTools,other
S-00dea4,63,3353.2,0,1,5,A-a6d261,Enterprise,0,2985,35820,FinTech,other
S-00f31d,40,2563.2,2,2,4,A-410e86,Pro,0,1176,14112,FinTech,organic
S-00fb6e,57,3542.8,0,1,5,A-c16101,Basic,0,247,2964,EdTech,other
S-00fcc5,89,5154.857142857143,2,1,6,A-40de06,Basic,0,1178,14136,Cybersecurity,event
S-012ab9,64,2425.4285714285716,2,2,7,A-b78bf8,Basic,0,627,7524,DevTools,event
S-012b26,93,3256.4444444444443,4,0,9,A-df1e44,Enterprise,0,2587,31044,Cybersecurity,organic
S-013f5c,97,2945.1111111111113,6,2,9,A-40de06,Pro,0,0,0,Cybersecurity,event
S-0144ac,30,2495.25,0,1,4,A-5a215a,Enterprise,0,17313,207756,EdTech,other
S-0146f6,52,3917.5,1,0,4,A-7641d3,Enterprise,0,2587,31044,EdTech,partner
S-016b5f,46,2559.6,6,0,4,A-977ca0,Enterprise,0,0,0,HealthTech,partner
S-017e33,61,2684.5714285714284,7,1,7,A-f9cc74,Basic,1,1007,12084,DevTools,partner
S-018501,62,2719.0,3,2,6,A-a865bd,Pro,0,2744,32928,Cybersecurity,organic
S-0185ce,47,2457.0,3,1,3,A-50f3f7,Pro,0,0,0,HealthTech,partner
S-01990c,3,1206.0,2,0,1,A-d62e02,Enterprise,0,3184,38208,Cybersecurity,partner
S-01ae7f,100,3249.5,4,1,9,A-b179bf,Pro,0,0,0,Cybersecurity,ads
S-01afa4,44,4002.25,1,0,3,A-a09355,Enterprise,0,2786,33432,FinTech,organic
S-01b2dc,59,1781.7142857142858,9,0,6,A-cc102e,Basic,0,247,2964,HealthTech,partner
S-01bbfe,19,1938.0,0,0,2,A-50f3f7,Pro,0,1519,18228,HealthTech,partner
S-01bbff,29,2291.0,0,0,3,A-de24d5,Basic,0,95,1140,DevTools,other
S-01daf5,68,2990.6666666666665,1,1,6,A-9affe6,Pro,0,1127,13524,Cybersecurity,other
S-01fa46,65,2773.8333333333335,3,0,6,A-6f50ae,Basic,0,361,4332,FinTech,partner
S-020222,47,3359.4,3,0,5,A-02fac6,Pro,0,1078,12936,FinTech,event
S-0206eb,65,2779.1428571428573,1,2,6,A-883b7d,Basic,0,589,7068,Cybersecurity,other
S-020dce,7,903.0,0,0,1,A-10b8da,Enterprise,0,2786,33432,DevTools,partner
S-021004,9,5274.0,0,0,1,A-186a44,Basic,0,380,4560,HealthTech,ads
S-021297,21,2287.5,0,0,2,A-5ed98d,Enterprise,0,4776,57312,DevTools,partner
S-021985,56,2231.6,3,1,4,A-66224b,Enterprise,1,18308,219696,HealthTech,other
